100272;5799.00;3481.00;1;Киев;!Кайт Power Drive Control System 2N1 50cm (планка )
100273;5799.00;3481.00;1;Киев;!Кайт Power Drive Control System 2N1 55cm (планка )
100291;6399.00;4481.00;1;Киев;!Кайт Powerdrive Std CS 48 (планка )
100292;6399.00;4481.00;1;Киев;!Кайт Powerdrive Std CS 55 (планка )
100293;6399.00;4481.00;1;Киев;!Кайт Powerdrive Std CS 60 (планка )
100318;6699.00;0.00;1;Киев;!Кайт QUICK LINK 48CM CONTROL SYSTEM (планка )
100319;6699.00;0.00;1;Киев;!Кайт QUICK LINK 55CM CONTROL SYSTEM (планка )
100320;6699.00;0.00;1;Киев;!Кайт QUICK LINK 65CM CONTROL SYSTEM (планка )
100270;14299.00;8581.00;1;Киев;!Кайт Revolver 12,0 KC '08 (КАЙТ) (кайт - купол)
100271;12599.00;7561.00;1;Киев;!Кайт Revolver 9,0 KC '08 (КАЙТ) (кайт - купол)
100305;13699.00;0.00;1;Киев;!Кайт SWITCHBLADE 06 KC color 1 '13 (Кайт) (кайт - купол)
100289;16099.00;11271.00;1;Киев;!Кайт SWITCHBLADE 10 KC '12  (кайт) (кайт - купол)
100307;17999.00;0.00;1;Киев;!Кайт SWITCHBLADE 11 KC color1 '13 (кайт) (кайт - купол)
100308;18699.00;0.00;1;Киев;!Кайт SWITCHBLADE 12 KC color1 '13 (кайт) (кайт - купол)
100309;20499.00;0.00;1;Киев;!Кайт SWITCHBLADE 14 KC color 1 '13 (Кайт) (кайт - купол)
100310;20499.00;0.00;1;Киев;!Кайт SWITCHBLADE 14 KC color 2 '13 (Кайт) (кайт - купол)
100290;20599.00;14421.00;1;Киев;!Кайт SWITCHBLADE 16 KC '12) (кайт) (кайт - купол)
100311;21999.00;0.00;1;Киев;!Кайт SWITCHBLADE 16 KC color1 '13 (кайт) (кайт - купол)
100312;21999.00;0.00;1;Киев;!Кайт SWITCHBLADE 16 KC color2 '13 (кайт) (кайт - купол)
100313;21999.00;0.00;1;Киев;!Кайт SWITCHBLADE 16 KC color3 '13 (кайт) (кайт - купол)
100283;14299.00;8581.00;1;Киев;!Кайт SWITCHBLADE IDS 09 KC '11 (кайт) (кайт - купол)
100282;14999.00;9001.00;1;Киев;!Кайт SWITCHBLADE IDS 10 KC '11 (кайт) (кайт - купол)
100314;12699.00;0.00;1;Киев;!Кайт VECTOR 09 KC color3 '13 (кайт) (кайт - купол)
