Рюкзаки;Quiksilver;ZEALAND B BKPK'15;Міський рюкзак, матеріал 61% коттон, 39% нейлон, обсяг 8 л, великий головний відсік, клапан, 2 бічних кишені, шкіряна нашивка з логотипом;Городской рюкзак, материал 61% коттон, 39% нейлон,  объём 8 л, большой главный отсек, клапан, 2 боковых кармана, кожаная нашивка с логотипом;Школьные рюкзаки,Рюкзаки городские;;детский;2014-2015;669.00;836.00;0;;0;;;;qs_roxy_dc_fw-15-41-41.jpg;888256438057==BMC0=qs_roxy_dc_fw-15-41.jpg=1;;;;;;
Рюкзаки;Quiksilver;HALL PASS B BKPK'15;;Рюкзакна колёсах,  материал 100% полиэстер, объём 25 л, 1 основной отсека на зиппере, отсек для ноутбукабоковые сетчатые карманы,передний карман-органайзер, флисовый карман на зиппере.;Рюкзаки городские,Школьные рюкзаки;;детский;2014-2015;1549.00;1936.00;0;;0;;;;qs_roxy_dc_fw-15-42-42.jpg,qs_roxy_dc_fw-15-42-42_2.jpg,qs_roxy_dc_fw-15-42-42_3.jpg,qs_roxy_dc_fw-15-42-42_4.jpg;888256644557==KRP9=qs_roxy_dc_fw-15-42.jpg=1;;;;;;
Рюкзаки;Quiksilver;GENERATION M BKPK'15;;Городской рюкзак, материал 100% полиэстер,  объём 26 л, 1 основной отсек на зиппере,  передний карман на зиппере, нашивка с логотипом, эргономичные лямки;Рюкзаки городские,Школьные рюкзаки;;мужской;2014-2015;774.00;968.00;0;;0;;;;;888256273481==BMJ0=qs_roxy_dc_fw-15-44.jpg=1;888256434349==KTA6=qs_roxy_dc_fw-15-44_2.jpg=1;;;;;
Сумки;Quiksilver;CENTURION M LUGG'15;;Дорожная сумка на колесах, материал 100% полиэстер, объём 70 л, 1 главный отсек на зиппере, 1 боковой карман на зиппере, телескопическая ручка.;Сумка на колесах;;мужской;2014-2015;1989.00;2486.00;0;;0;;;;qs_roxy_dc_fw-15-48-48.jpg;888256434202==KPC3=qs_roxy_dc_fw-15-48.jpg=1;887973720766==KVJ0=qs_roxy_dc_fw-15-48_2.jpg=1;;;;;
Сумки;Quiksilver;DELAY M LUGG'15;;"Дорожная сумка на колесах, материал 100% полиэстер 600D, объём 60 л, вес 3,2кг, 2 отсека ""сэндвич"", 2 утягивающих стрепа на застежках, телескопическая ручка.";Сумка на колесах;;мужской;2014-2015;3326.00;4158.00;0;;0;;;;qs_roxy_dc_fw-15-49-49.jpg,qs_roxy_dc_fw-15-49-49_2.jpg;888256344341==CPP0=qs_roxy_dc_fw-15-49.jpg=0;888256434318==KVJ0=qs_roxy_dc_fw-15-49_2.jpg=1;;;;;
Несессеры;Quiksilver;CHAMBER M LUGG'15;Несесер, матеріал 100% поліестер, обсяг 4л, нашивка з логотипом;Несессер, материал 100% полиэстер, объем 4л, нашивка с логотипом;;;мужской;2014-2015;440.00;550.00;0;;0;;;;;888256434516==CPP0=qs_roxy_dc_fw-15-50.jpg=1;888256434608==KVJ0=qs_roxy_dc_fw-15-50_2.jpg=1;;;;;
Сумки;Quiksilver;STONE FIELDS M LUGG'15;;Дорожная сумка на колесах, материал 100% пластик, объём 55 л, 1 главный  отсек на зиппере, ручки для переноски, телескопическая ручка, прочные скейтерские колеса.;Сумка на колесах;;мужской;2014-2015;3555.00;4444.00;0;;0;;;;;888256595880==RQR0=qs_roxy_dc_fw-15-51.jpg=1;;;;;;
Сумки;Quiksilver;SHORT DELAY M LUGG'15;;Дорожная сумка на колесах, материал 100% полиэстер 600D, объём 26,5 л, вес 2,3кг, 2 главных отсека, 2 утягивающих стрепа на застежках, телескопическая ручка.;Сумка на колесах;;мужской;2014-2015;2446.00;3058.00;0;;0;;;;qs_roxy_dc_fw-15-52-52.jpg;888256275478==CPP0=qs_roxy_dc_fw-15-52.jpg=0;888256434400==KVJ0=qs_roxy_dc_fw-15-52_2.jpg=1;;;;;;
Сумки;Quiksilver;CIRCUIT CORDURA M LUGG'15;;"Дорожная сумка на колесах, материал 100% полиэстер 600D, объём 45 л, вес 2,4кг, 2 главных отсека ""сэндвич"", 2 утягивающих стрепа на застежках, телескопическая ручка, прочные скейтерские колеса.";Сумка на колесах;;мужской;2014-2015;3766.00;4708.00;0;;0;;;;qs_roxy_dc_fw-15-53-53.jpg;888256274907==KVJ0=qs_roxy_dc_fw-15-53.jpg=1;;;;;;;
Сумки;Quiksilver;MAGIC M MGRS'15;Наплічна сумка, матеріал 88% поліестер, 12% коттон, об'єм 1,3 л, 1 основний відсік на зіпері, регульований ремінь.;Наплечная сумка, материал 88% полиэстер, 12% коттон, объем 1,3л, 1 основной отсек на зиппере, регулируемый ремень.;Сумка;;мужской;2014-2015;563.00;704.00;0;;0;;;;;887973720629==KVJ0=qs_roxy_dc_fw-15-55.jpg=1;888256434523==CPP0=qs_roxy_dc_fw-15-55_2.jpg=1;;;;;;
Сумки;Quiksilver;BLACK DIES M MGRS'15;;Наплечная сумка, материал 100% полиэстер, объем 0,2л, 1 основной отсек на зиппере, регулируемый шнурок.;Сумка;;мужской;2014-2015;440.00;550.00;0;;0;;;;;887973720865==KVJ0=qs_roxy_dc_fw-15-56.jpg=1;888256434387==CPP0=qs_roxy_dc_fw-15-56_2.jpg=1;;;;;;
Сумки;Quiksilver;MO OG DUFFLE M LUGG'15;;"Сумка duffle, материал 100% коттон, кожаная отделка, объём 41 л, главный отсек вмещает ноутбук 15"",фронтальных карман-органайзер  на зиппере, регулируемая лямка.";Сумка;;мужской;2014-2015;2658.00;3322.00;0;;0;;;;;888256273634==GPB0=qs_roxy_dc_fw-15-58.jpg=1;;;;;;;
Сумки;Quiksilver;MO OG TOD BAG M TOTE'15;;Наплечная сумка, материал 100% коттон, кожаная отделка, объём 25 л, один главный отсек, коттоновые лямки.;Сумка;;мужской;2014-2015;1778.00;2222.00;0;;0;;;;;888256272941==GPB0=qs_roxy_dc_fw-15-59.jpg=1;;;;;;;
Сумки;Quiksilver;REACH 600D M LUGG'15;;"Дорожная сумка на колесах, материал 100% полиэстер 600D, объём 110 л, вес 3,2кг, 2 главных отсека ""сэндвич"", 2 утягивающих стрепа на застежках, телескопическая ручка, прочные скейтерские колеса.";Сумка на колесах;;мужской;2014-2015;4206.00;5258.00;0;;0;;;;;888256273382==KRP6=qs_roxy_dc_fw-15-60.jpg=1;;;;;;;
Несессеры;Quiksilver;ADAPTED M LUGG'15;Несесер, матеріал 100% поліестер, обсяг 4л, внутрішня сітчаста кишеня, пластикова ручка.;Несессер, материал 100% полиэстер, объем 4л, внутренний сетчатый карман, пластиковая ручка.;;;мужской;2014-2015;563.00;704.00;0;;0;;;;;888256434448==KRP6=qs_roxy_dc_fw-15-61.jpg=1;888256434370==KVJ0=qs_roxy_dc_fw-15-61_2.jpg=1;;;;;;
Сумки;Quiksilver;CIRCUIT M LUGG'15;;"Дорожная сумка на колесах, материал 100% полиэстер 600D, объём 45 л, вес 2,4кг, 2 главных отсека ""сэндвич"", 2 утягивающих стрепа на застежках, телескопическая ручка, прочные скейтерские колеса.";Сумка на колесах;;мужской;2014-2015;3766.00;4708.00;0;;0;;;;;888256273269==KRP6=qs_roxy_dc_fw-15-62.jpg=1;;;;;;;
Сумки;Quiksilver;UNITED M MGRS'15;;Сумка для ноутбука, материал 100% полиэстер, объём 14 л, главный отсек с внутренним органайзером, фронтальный карман на зиппере, съемная регулируемая лямка.;Сумка;;мужской;2014-2015;1338.00;1672.00;0;;0;;;;;888256437227==KVJ0=qs_roxy_dc_fw-15-64.jpg=1;;;;;;;
